"term","df","sumsq","meansq","statistic","p.value"
"factor(tercile_tertiary)",2,5314462894.02611,2657231447.01306,8.8657866267565,0.000863544018109536
"Residuals",32,9590960157.75941,299717504.929982,NA,NA
