"term","estimate_base","std.error_base","p.value_base","estimate_winsor","std.error_winsor","p.value_winsor"
"(Intercept)",-10978.6813981639,5866.71345261103,0.061973629670815,-9387.84844972447,5435.68112651585,0.0848700068462276
"edu_exp_gdp",-1014.77140526189,745.29576858366,0.174045345035861,NA,NA,NA
"tertiary_enr",198.6184585346,57.7959652173485,0.00064636744332704,NA,NA,NA
"literacy",296.447726500767,75.8959066102831,0.00010891566902975,263.855641650763,70.3135803700657,0.000198999689918327
